year	womenbywomen	menbywomen	womenbymen	menbymen
1800	1427	1573	993	2007
1801	745	2255	647	2353
1802	1549	1451	0	0
1803	1515	1485	893	2107
1804	1021	1979	992	2008
1805	1528	1472	708	2292
1806	997	2003	984	2016
1807	1818	1182	1277	1723
1808	1962	1038	763	2237
1809	599	2401	676	2324
1810	1242	1758	541	2459
1811	0	3000	1137	1863
1812	1891	1109	771	2229
1813	1371	1629	934	2066
1814	1117	1883	857	2143
1815	839	2161	814	2186
1816	822	2178	889	2111
1817	1091	1909	757	2243
1818	3000	0	877	2123
1819	1586	1414	727	2273
1820	858	2142	633	2367
1821	1806	1194	982	2018
1822	1346	1654	977	2023
1823	1061	1939	865	2135
1824	1251	1749	849	2151
1825	1358	1642	730	2270
1826	1472	1528	538	2462
1827	1326	1674	1068	1932
1828	1173	1827	919	2081
1829	1579	1421	549	2451
1830	1278	1722	774	2226
1831	1295	1705	595	2405
1832	1230	1770	617	2383
1833	1219	1781	686	2314
1834	1267	1733	541	2459
1835	1323	1677	818	2182
1836	1452	1548	995	2005
1837	1133	1867	713	2287
1838	1280	1720	710	2290
1839	1304	1696	631	2369
1840	1426	1574	621	2379
1841	1367	1633	857	2143
1842	1205	1795	747	2253
1843	1221	1779	594	2406
1844	1076	1924	593	2407
1845	1180	1820	801	2199
1846	1327	1673	694	2306
1847	1067	1933	796	2204
1848	1327	1673	702	2298
1849	1030	1970	730	2270
1850	1266	1734	937	2063
1851	1312	1688	724	2276
1852	1240	1760	756	2244
1853	1487	1513	853	2147
1854	1328	1672	873	2127
1855	1241	1759	789	2211
1856	1385	1615	933	2067
1857	1277	1723	877	2123
1858	1350	1650	831	2169
1859	1313	1687	762	2238
1860	1228	1772	853	2147
1861	1469	1531	712	2288
1862	1320	1680	788	2212
1863	1315	1685	747	2253
1864	1142	1858	801	2199
1865	1345	1655	732	2268
1866	1291	1709	734	2266
1867	1160	1840	856	2144
1868	1209	1791	791	2209
1869	1328	1672	815	2185
1870	1330	1670	781	2219
1871	1204	1796	811	2189
1872	1404	1596	782	2218
1873	1438	1562	922	2078
1874	1290	1710	783	2217
1875	1328	1672	836	2164
1876	1396	1604	760	2240
1877	1206	1794	756	2244
1878	1158	1842	874	2126
1879	1241	1759	775	2225
1880	1308	1692	890	2110
1881	1347	1653	852	2148
1882	1308	1692	819	2181
1883	1292	1708	895	2105
1884	1164	1836	801	2199
1885	1302	1698	740	2260
1886	1202	1798	880	2120
1887	1193	1807	913	2087
1888	1315	1685	849	2151
1889	1286	1714	801	2199
1890	1225	1775	814	2186
1891	1238	1762	858	2142
1892	1306	1694	779	2221
1893	1335	1665	749	2251
1894	1244	1756	814	2186
1895	1291	1709	792	2208
1896	1131	1869	775	2225
1897	1213	1787	824	2176
1898	1196	1804	820	2180
1899	1304	1696	692	2308
1900	1299	1701	807	2193
1901	1260	1740	728	2272
1902	1216	1784	804	2196
1903	1214	1786	816	2184
1904	1158	1842	761	2239
1905	1216	1784	808	2192
1906	1182	1818	844	2156
1907	1241	1759	798	2202
1908	1210	1790	817	2183
1909	1212	1788	815	2185
1910	1227	1773	735	2265
1911	1233	1767	881	2119
1912	1259	1741	847	2153
1913	1312	1688	875	2125
1914	1240	1760	843	2157
1915	1280	1720	838	2162
1916	1263	1737	792	2208
1917	1310	1690	828	2172
1918	1326	1674	776	2224
1919	1277	1723	765	2235
1920	1306	1694	786	2214
1921	1298	1702	806	2194
1922	1278	1722	842	2158
1923	1109	1891	860	2140
1924	1203	1797	907	2093
1925	1342	1658	825	2175
1926	1310	1690	815	2185
1927	1314	1686	831	2169
1928	1244	1756	811	2189
1929	1211	1789	855	2145
1930	1328	1672	835	2165
1931	1186	1814	852	2148
1932	1171	1829	793	2207
1933	1190	1810	860	2140
1934	1170	1830	828	2172
1935	1157	1843	777	2223
1936	1296	1704	787	2213
1937	1240	1760	794	2206
1938	1232	1768	811	2189
1939	1119	1881	813	2187
1940	1173	1827	747	2253
1941	1135	1865	813	2187
1942	1139	1861	729	2271
1943	1129	1871	772	2228
1944	1067	1933	700	2300
1945	1190	1810	800	2200
1946	1122	1878	822	2178
1947	1215	1785	787	2213
1948	1184	1816	795	2205
1949	1226	1774	770	2230
1950	1190	1810	795	2205
1951	1269	1731	858	2142
1952	1180	1820	860	2140
1953	1145	1855	809	2191
1954	1102	1898	778	2222
1955	1183	1817	753	2247
1956	1109	1891	745	2255
1957	1139	1861	760	2240
1958	1096	1904	796	2204
1959	1159	1841	808	2192
1960	1049	1951	837	2163
1961	1115	1885	864	2136
1962	1016	1984	837	2163
1963	1147	1853	823	2177
1964	1146	1854	763	2237
1965	1138	1862	722	2278
1966	1083	1917	787	2213
1967	1165	1835	728	2272
1968	1170	1830	814	2186
1969	1127	1873	823	2177
1970	1057	1943	828	2172
1971	1237	1763	795	2205
1972	1130	1870	777	2223
1973	1121	1879	813	2187
1974	1153	1847	771	2229
1975	1181	1819	809	2191
1976	1155	1845	744	2256
1977	1150	1850	729	2271
1978	1197	1803	756	2244
1979	1189	1811	767	2233
1980	1221	1779	799	2201
1981	1231	1769	826	2174
1982	1174	1826	778	2222
1983	1202	1798	739	2261
1984	1178	1822	869	2131
1985	1223	1777	779	2221
1986	1222	1778	785	2215
1987	1266	1734	794	2206
1988	1214	1786	787	2213
1989	1282	1718	806	2194
1990	1229	1771	824	2176
1991	1305	1695	855	2145
1992	1195	1805	798	2202
1993	1310	1690	818	2182
1994	1217	1783	810	2190
1995	1214	1786	842	2158
1996	1209	1791	742	2258
1997	1200	1800	834	2166
1998	1252	1748	821	2179
1999	1260	1740	842	2158
2000	1218	1782	808	2192
