hypothesisnum	firstsim	secondsim	distractor
1	11031_Holmes	11594_Holmes	7422_Sikes
2	11031_Holmes	mdp.39015008439856|Holmes	mdp.39015066054217|Carrie
3	uc2.ark+=13960=t10p0wz08|Tarzan	uva.x000241745|Tarzan	mdp.39015005776847|Rhett
4	11594_Holmes	mdp.39015008439856|Holmes	mdp.39015008439856|McMurdo
5	uc2.ark+=13960=t10p0wz08|Tarzan	uva.x000241745|Tarzan	uva.x000241745|Werper
6	mdp.39015020633213|Wimsey	inu.30000007060282|Wimsey	inu.30000007060282|HarrietVane
7	10651_Elizabeth	1516_Elinor	966_I
8	14796_Emily	3727_Adeline	6154_Uriah
9	mdp.39015001153629|Poirot	mdp.39015061868363|MissMarple	mdp.39015005776847|Scarlett
10	mdp.39015001153629|Poirot	mdp.39015061868363|MissMarple	mdp.39015031600409|EddieMars
11	10651_Elizabeth	1516_Elinor	8763_MadameMerle
12	10651_Wickham	1516_Willoughby	10117_Mr.Rochester
13	2421_I	10117_I	13978_I
14	mdp.39015001153629|LordEdgware	mdp.39015061868363|HeatherBadcock	mdp.39015022095585|Casy
15	mdp.39015001153629|JaneWilkinson	mdp.39015061868363|MarinaGregg	mdp.39015008850250|Jenny
16	12985_Diana	12449_Flora	14796_Emily	
17	10651_Elizabeth	1516_Elinor	1516_Willoughby
18	14796_Emily	3727_Adeline	14796_Montoni*
19	mdp.39015001153629|Poirot	mdp.39015061868363|MissMarple	mdp.39015001153629|JaneWilkinson
20	mdp.39015001153629|LordEdgware	mdp.39015061868363|HeatherBadcock	mdp.39015061868363|MarinaGregg
21	mdp.39015001153629|JaneWilkinson	mdp.39015061868363|MarinaGregg	mdp.39015001153629|Poirot
22	10651_Wickham	1516_Willoughby	10651_Mr.Darcy
23	10651_Elizabeth	1516_Elinor	10651_Mrs.Bennet
24	2723_JohnBarton	11034_Nicholas	11034_Margaret
25	6154_Agnes	6155_Lizzie	6154_Uriah
26	5854_Rowena	12449_MissBradwardine	5854_Rebecca
27	3727_Marquis	14796_Montoni*	14796_Valancourt
28	mdp.39015038927201|Gandalf	inu.30000054447648|Merlyn	mdp.39015022095585|Ruthie
29	mdp.39015005776847|Rhett	osu.32435083797019|Damerel	mdp.39015022095585|Casy
30	mdp.39015005776847|Scarlett	osu.32435083797019|Venetia	mdp.39015061868363|MissMarple
31	nyp.33433076067192|Lassiter	uc1.$b401276|Shane	inu.30000007060282|Wimsey
32	mdp.39015046463629|LordMormont	mdp.39015038927201|Faramir	inu.30000035415862|Lucas
33	mdp.39015001153629|Poirot	mdp.39015008439856|Holmes	mdp.39015031600409|Carmen
34	11031_Holmes	mdp.39015020633213|Wimsey	mdp.39015022095585|Tom
35	inu.30000007060282|Wimsey	mdp.39015061868363|MissMarple	nyp.33433076067192|Jane
36	mdp.39015061868363|MissMarple	uc1.32106006434416|Mr.Wolfe	inu.30000035415862|Constance
37 	mdp.39015001153629|LordEdgware	uc1.32106006434416|Mr.Boone	mdp.39015022095585|Tom
38	mdp.39015008439856|McMurdo	inu.30000007060282|PhilipBoyes	nyp.33433076067192|Tull
39	inu.30000007060282|PhilipBoyes	mdp.39015061868363|HeatherBadcock	mdp.39015066054217|Carrie
40	mdp.39015031600409|Carmen	mdp.39015061868363|MarinaGregg	inu.30000054447648|Merlyn
41	uc1.32106006434416|Kates	inu.30000007060282|Mr.Urquhart	uc2.ark+=13960=t10p0wz08|Tarzan
42	888_I	12530_I	13180_John
43	14796_Montoni*	8469_Heathcliff	10651_Mr.Bennet
44	4002_Arthur	417_AlecD'Urberville	11034_Mr.Thornton
45	986_Alice	10117_Helen	7225_Legree
46	7422_Sikes	13180_John	7095_Francisco
47	mdp.39015022095585|Tom	mdp.39015026884190|Jurgis	2655|LordHenry
48	mdp.39015026884190|Ona	inu.30000035415862|Selena	mdp.39015001153629|Poirot
49	mdp.39015066054217|Carrie	mdp.39015026884190|Jurgis	uva.x000241745|Tarzan
50	11109|Trilby	2655|Sibyl	8763_MadameMerle
51	inu.30000035415862|Dr.Swain	uc1.b4384804|Dr.Neal	uc1.32106006434416|Kates
52	6575_Jonathan	7422_Sikes	7422_Mr.Brownlow
53	8763_Mrs.Osmond	9583_Mrs.Grandcourt	8763_MadameMerle
54	8763_Mr.Osmond	9583_Grandcourt	9583_Deronda
55	13798_I	10117_I	10117_Mr.Rochester
56	mdp.39015038927201|Gandalf	inu.30000054447648|Merlyn	mdp.39015038927201|Sauron
57	mdp.39015005776847|Rhett	osu.32435083797019|Damerel	mdp.39015005776847|Wade
58	mdp.39015005776847|Scarlett	osu.32435083797019|Venetia	mdp.39015005776847|AuntPittypat
59	nyp.33433076067192|Lassiter	uc1.$b401276|Shane	nyp.33433076067192|Tull
60	mdp.39015046463629|LordMormont	mdp.39015038927201|Faramir	mdp.39015038927201|Sauron
61	mdp.39015001153629|Poirot	mdp.39015008439856|Holmes	mdp.39015001153629|LordEdgware
62	11031_Holmes	mdp.39015020633213|Wimsey	mdp.39015020633213|WillThoday
